Timestamp,Episode,L_pred,L_sigreg
2026-08-26 23:26:27,50,0.001646,21.656371
2026-08-26 23:26:42,100,0.000745,13.297883
2026-08-26 23:26:57,150,0.001010,9.598445
2026-08-26 23:27:12,200,0.001978,7.841800
2026-08-26 23:27:28,250,0.004535,5.335217
2026-08-26 23:27:43,300,0.011361,3.659738
2026-08-26 23:27:58,350,0.012425,3.124484
2026-08-26 23:28:14,400,0.012867,2.754468
2026-08-26 23:28:29,450,0.012282,2.527824
2026-08-26 23:28:44,500,0.013756,2.366997
2026-08-26 23:29:00,550,0.015504,2.262125
2026-08-26 23:29:16,600,0.011464,2.103582
2026-08-26 23:29:31,650,0.011609,1.991547
2026-08-26 23:29:48,700,0.011762,1.891974
2026-08-26 23:30:04,750,0.013563,1.790127
2026-08-26 23:30:20,800,0.013031,1.667381
2026-08-26 23:30:36,850,0.017503,1.603299
2026-08-26 23:30:53,900,0.014039,1.485953
2026-08-26 23:31:09,950,0.015650,1.405707
2026-08-26 23:31:26,1000,0.015206,1.318422
2026-08-26 23:31:44,1050,0.014309,1.252223
