timestamp,episode,success_rate,avg_steps,l_pred,l_sigreg,l_critic,v_target,v_agent,delta_v,latent_dist,latent_std
2026-08-16 14:59:18,19950,0.6800,75.1,0.154183,2.419041,4.947736,-3.3145,-6.6859,-3.3713,116.7144,1.3642
2026-08-16 15:11:28,20000,0.6400,77.6,0.122285,1.183620,1.906230,-0.7023,0.0882,0.7905,73.7134,1.1612
2026-08-16 15:22:38,20050,0.6800,69.9,0.114597,1.140991,0.849830,-1.9884,0.5214,2.5099,78.5524,1.2387
2026-08-16 15:33:48,20100,0.5600,72.7,0.113952,1.148098,0.493823,-1.0214,-1.1798,-0.1583,95.3337,1.1779
2026-08-16 15:45:04,20150,0.6400,73.4,0.105503,1.148758,0.286447,-0.1109,-2.0426,-1.9317,96.2960,0.8879
2026-08-16 19:41:02,20200,0.6600,72.5,0.146694,1.895139,0.289850,0.4404,1.9117,1.4713,67.1622,0.9843
2026-08-16 19:47:44,20250,0.6800,63.8,0.109595,1.179955,0.141524,-0.1225,-0.5155,-0.3930,78.3404,1.1474
2026-08-16 19:55:37,20300,0.6600,73.2,0.098599,1.134259,0.085200,0.6018,-0.1563,-0.7581,84.2547,1.1549
2026-08-16 20:02:56,20350,0.7000,67.4,0.098320,1.140490,0.059837,-0.4297,-0.3895,0.0402,73.0731,0.8830
2026-08-16 20:09:41,20400,0.7200,62.6,0.096873,1.142970,0.042618,0.8871,0.1239,-0.7633,91.7769,1.3782
2026-08-16 20:16:54,20450,0.7000,67.1,0.098506,1.155021,0.028649,0.3032,-0.0390,-0.3422,79.7951,1.3935
2026-08-16 20:23:33,20500,0.7000,61.8,0.098616,1.148636,0.021005,0.3210,0.0533,-0.2678,91.0702,1.3101
2026-08-16 20:28:32,20550,0.7800,46.6,0.097230,1.148136,0.017650,-0.3853,0.0526,0.4378,83.4526,0.9834
2026-08-16 20:35:38,20600,0.7000,66.2,0.093696,1.145669,0.014231,-0.4923,0.2896,0.7819,70.8414,1.1318
2026-08-16 20:42:31,20650,0.7200,64.1,0.092041,1.146764,0.011465,0.0039,-0.5332,-0.5371,72.1889,1.1711
2026-08-16 20:50:46,20700,0.5600,77.3,0.093842,1.148506,0.010121,-0.2352,-0.1273,0.1079,81.4577,1.2641
2026-08-16 20:57:26,20750,0.7000,62.1,0.091111,1.157011,0.008282,0.1536,0.3238,0.1703,107.6379,1.2496
2026-08-16 21:03:30,20800,0.7600,56.5,0.089571,1.152133,0.006933,0.3432,-0.0571,-0.4003,64.7850,1.0845
2026-08-16 21:10:56,20850,0.6000,69.5,0.087538,1.150453,0.006470,0.3281,-0.2329,-0.5611,75.7706,0.9474
2026-08-16 21:19:37,20900,0.7000,68.3,0.162949,1.839331,0.007904,-0.0575,0.0037,0.0612,62.2951,0.8272
2026-08-16 21:28:49,20950,0.5000,83.1,0.116728,1.180160,0.006016,0.1472,0.1293,-0.0179,65.4942,1.0712
2026-08-16 21:36:22,21000,0.6800,66.5,0.100462,1.133096,0.004804,0.2266,0.3291,0.1025,66.5542,1.1108
2026-08-16 21:44:01,21050,0.6400,67.4,0.098535,1.138914,0.004709,0.0653,0.2198,0.1545,74.9860,0.9717
2026-08-17 06:08:41,21100,0.5800,72.5,0.174239,1.711362,0.005419,-0.1286,0.0038,0.1324,126.4525,1.6201
2026-08-17 06:16:40,21150,0.6600,75.2,0.116950,1.190442,0.003763,0.2366,0.1401,-0.0965,93.7141,0.9246
2026-08-17 06:24:56,21200,0.6200,76.2,0.105898,1.139803,0.003578,0.0298,0.2537,0.2239,60.9105,0.9379
2026-08-17 06:32:48,21250,0.5400,72.7,0.107441,1.142058,0.003993,0.2216,0.2503,0.0286,64.3577,1.1084
2026-08-17 06:39:05,21300,0.7200,57.3,0.108306,1.143909,0.003868,0.2204,0.3648,0.1443,55.0655,1.1487
2026-08-17 06:48:02,21350,0.4600,83.4,0.108243,1.151236,0.004126,0.1181,0.1146,-0.0035,101.3504,1.2701
2026-08-17 06:56:50,21400,0.6000,82.4,0.102868,1.149625,0.003338,0.1729,0.1718,-0.0012,54.8349,0.9496
2026-08-17 07:04:33,21450,0.7000,72.3,0.101896,1.150770,0.003843,0.1001,-0.0500,-0.1501,95.4400,1.3543
2026-08-17 15:46:27,21500,0.5600,77.1,0.156665,1.692268,0.004091,0.1837,0.1316,-0.0521,53.6985,1.0479
2026-08-17 15:53:48,21550,0.6800,68.6,0.119206,1.185604,0.003343,0.2110,0.2311,0.0200,100.8477,1.1924
2026-08-17 16:01:31,21600,0.6000,70.4,0.111576,1.135816,0.003140,0.2280,0.1505,-0.0775,103.2169,1.2695
2026-08-17 16:09:56,21650,0.6000,76.8,0.113546,1.134034,0.003041,0.2239,0.0914,-0.1324,55.3174,0.8260
2026-08-17 16:18:06,21700,0.6200,75.2,0.110352,1.138685,0.002847,0.2353,0.2644,0.0291,62.7868,0.9529
2026-08-17 16:26:03,21750,0.6800,73.5,0.103261,1.145252,0.003083,0.3256,0.2116,-0.1140,60.5911,1.0431
2026-08-17 16:33:54,21800,0.6200,72.6,0.103521,1.144931,0.003160,0.3253,0.1268,-0.1985,77.8148,1.0311
2026-08-17 16:42:46,21850,0.5600,82.1,0.100433,1.156008,0.003120,0.3114,0.1911,-0.1203,89.8044,1.1741
2026-08-17 16:48:50,21900,0.7600,56.0,0.101099,1.151970,0.003315,0.3041,0.3047,0.0006,27.4700,1.0151
2026-08-17 22:59:00,21950,0.7200,67.5,0.189235,1.839687,0.004388,0.1368,0.2107,0.0739,48.8995,1.0031
2026-08-17 23:07:59,22000,0.6200,77.6,0.123181,1.182715,0.003771,0.3402,0.2470,-0.0931,50.7948,0.7357
2026-08-17 23:18:00,22050,0.4600,86.2,0.111529,1.140209,0.003429,0.1732,0.1391,-0.0340,83.8219,1.0442
2026-08-17 23:24:13,22100,0.7200,53.8,0.110336,1.136520,0.003067,0.3090,0.3268,0.0179,48.0667,1.2015
2026-08-17 23:33:02,22150,0.4600,76.3,0.114040,1.140642,0.002911,0.3102,0.3659,0.0557,48.0372,0.7920
2026-08-17 23:40:49,22200,0.5800,67.1,0.108229,1.143287,0.002625,0.2755,0.0565,-0.2190,69.6487,1.0699
2026-08-17 23:47:17,22250,0.7400,56.2,0.103876,1.138123,0.002770,0.2361,0.3023,0.0662,77.5378,1.1434
2026-08-17 23:54:33,22300,0.6400,62.9,0.097641,1.139420,0.003044,0.1670,0.2707,0.1037,84.4283,1.0905
2026-08-18 00:03:53,22350,0.5200,80.8,0.096559,1.140026,0.003510,0.1899,0.4146,0.2247,98.9840,1.2186
2026-08-18 00:11:30,22400,0.7000,66.0,0.100061,1.141819,0.003579,0.4107,0.0642,-0.3464,79.2823,0.9880
2026-08-18 07:12:25,22450,0.5800,73.8,0.172002,1.967129,0.003390,0.0573,0.1757,0.1184,72.7749,1.1839
2026-08-18 07:20:22,22500,0.6200,73.1,0.121133,1.182758,0.002904,0.2345,0.1756,-0.0589,54.9935,1.0340
2026-08-18 07:28:15,22550,0.6200,71.1,0.112518,1.136760,0.002819,-0.0824,0.1870,0.2694,78.4566,1.1829
2026-08-18 07:36:12,22600,0.6200,72.8,0.115689,1.140432,0.002760,0.2481,0.2191,-0.0290,94.3424,1.0857
2026-08-18 07:43:53,22650,0.7000,69.0,0.112963,1.143661,0.002915,0.1852,0.1366,-0.0486,75.9762,0.9020
2026-08-18 07:51:03,22700,0.6800,64.6,0.109007,1.148460,0.003119,0.2170,0.2205,0.0035,70.0701,1.1019
2026-08-18 07:58:03,22750,0.6200,65.6,0.108261,1.140974,0.003378,0.0851,0.2367,0.1516,62.4985,1.0291
